date,steps,heart_rate_avg,sleep_hours
2024-03-01,9270,79.0,5.0
2024-03-02,2860,84.0,6.4
2024-03-03,7390,79.0,6.6
2024-03-04,7191,83.0,9.8
2024-03-05,7734,70.0,7.3
2024-03-06,8265,68.0,8.0
2024-03-07,2466,71.0,5.3
2024-03-08,6426,65.0,7.3
2024-03-09,7578,76.0,8.2
2024-03-10,10322,72.0,8.1
2024-03-11,3685,85.0,7.8
2024-03-12,2769,65.0,7.2
2024-03-13,8949,87.0,7.3
2024-03-14,4433,67.0,5.5
2024-03-15,7311,65.0,6.3
2024-03-16,7051,68.0,7.4
2024-03-17,8420,91.0,6.5
2024-03-18,3184,75.0,7.9
2024-03-19,6555,79.0,7.7
2024-03-20,5385,74.0,8.6
2024-03-21,8396,74.0,8.2
2024-03-22,10666,71.0,7.4
2024-03-23,4558,75.0,7.9
2024-03-24,9849,79.0,8.2
2024-03-25,4047,88.0,6.7
2024-03-26,4747,60.0,6.9
2024-03-27,2189,88.0,7.1
2024-03-28,4734,79.0,6.7
2024-03-29,5005,72.0,8.2
2024-03-30,6658,71.0,6.6
2024-03-31,3899,83.0,8.5
2024-04-01,9734,77.0,6.8
2024-04-02,3267,63.0,7.7
2024-04-03,3528,78.0,7.4
2024-04-04,5556,84.0,6.2
2024-04-05,5890,82.0,7.2
2024-04-06,10838,70.0,7.5
2024-04-07,7393,64.0,7.1
2024-04-08,10792,72.0,5.9
2024-04-09,10433,101.0,8.9
2024-04-10,9513,63.0,7.3
2024-04-11,4612,68.0,6.4
2024-04-12,9041,78.0,8.8
2024-04-13,8235,74.0,7.8
2024-04-14,7486,73.0,6.0
2024-04-15,9099,91.0,6.2
2024-04-16,2775,68.0,7.0
2024-04-17,10226,75.0,7.5
2024-04-18,5152,77.0,7.8
2024-04-19,3585,69.0,8.2
2024-04-20,5943,63.0,7.7
2024-04-21,9555,77.0,8.5
2024-04-22,5073,90.0,7.3
2024-04-23,3021,78.0,6.4
2024-04-24,5843,76.0,7.2
2024-04-25,9989,76.0,7.1
2024-04-26,8873,73.0,4.6
2024-04-27,7675,84.0,6.6
2024-04-28,2161,71.0,7.5
2024-04-29,6297,64.0,6.8
2024-04-30,2995,62.0,6.6
2024-05-01,9629,76.0,8.1
2024-05-02,3016,83.0,6.3
2024-05-03,9869,77.0,7.9
2024-05-04,8439,72.0,5.9
2024-05-05,9892,79.0,10.0
2024-05-06,8863,76.0,7.0
2024-05-07,9916,82.0,6.9
2024-05-08,10529,86.0,8.3
2024-05-09,2878,67.0,6.8
2024-05-10,6887,56.0,8.7
2024-05-11,6859,72.0,7.6
2024-05-12,8331,67.0,7.1
2024-05-13,10571,82.0,7.0
2024-05-14,10684,69.0,8.4
2024-05-15,9208,60.0,7.4
2024-05-16,7276,70.0,7.6
2024-05-17,4062,63.0,7.7
2024-05-18,2064,88.0,7.3
2024-05-19,10006,79.0,7.7
2024-05-20,4568,80.0,7.1
2024-05-21,7463,79.0,7.2
2024-05-22,4027,82.0,6.1
2024-05-23,4695,84.0,7.5
2024-05-24,7258,71.0,5.5
2024-05-25,7618,64.0,7.5
2024-05-26,8736,68.0,6.9
2024-05-27,2391,75.0,7.6
2024-05-28,7892,54.0,6.2
2024-05-29,5561,84.0,5.1
2024-05-30,8184,60.0,6.8
2024-05-31,5099,80.0,6.2
2024-06-01,8278,74.0,5.4
2024-06-02,10392,77.0,8.0
2024-06-03,5104,71.0,8.8
2024-06-04,9215,77.0,6.4
2024-06-05,4454,71.0,7.1
2024-06-06,10996,71.0,6.9
2024-06-07,4731,68.0,6.5
2024-06-08,10154,87.0,7.9
2024-06-09,7056,78.0,8.2
2024-06-10,10110,77.0,6.3
2024-06-11,5840,68.0,7.2
2024-06-12,3028,73.0,8.5
2024-06-13,9385,67.0,7.9
2024-06-14,2502,71.0,8.0
2024-06-15,8910,65.0,8.6
2024-06-16,8938,88.0,8.6
2024-06-17,6488,69.0,8.2
2024-06-18,2206,68.0,7.3
2024-06-19,7134,64.0,6.8
2024-06-20,7977,69.0,7.3
2024-06-21,9721,71.0,6.7
2024-06-22,9035,75.0,5.2
2024-06-23,3484,70.0,6.9
2024-06-24,9858,62.0,7.6
2024-06-25,2863,63.0,6.6
2024-06-26,4790,80.0,7.0
2024-06-27,9408,74.0,7.0
2024-06-28,10755,80.0,8.6
2024-06-29,7116,81.0,6.8
2024-06-30,8019,76.0,8.6
2024-07-01,3757,65.0,4.5
2024-07-02,9574,77.0,8.5
2024-07-03,8374,86.0,8.5
2024-07-04,8892,71.0,8.1
2024-07-05,3678,78.0,5.2
2024-07-06,5242,75.0,8.2
2024-07-07,6636,86.0,7.1
2024-07-08,3059,70.0,4.7
2024-07-09,8668,84.0,8.5
2024-07-10,5157,72.0,8.6
2024-07-11,7915,69.0,5.3
2024-07-12,4693,76.0,7.4
2024-07-13,5627,78.0,8.6
2024-07-14,7450,90.0,8.4
2024-07-15,3663,78.0,8.0
2024-07-16,7592,77.0,4.6
2024-07-17,9392,88.0,7.9
2024-07-18,3306,80.0,7.0
2024-07-19,8776,70.0,8.2
2024-07-20,7864,86.0,7.5
2024-07-21,9526,69.0,7.2
2024-07-22,10901,70.0,7.8
2024-07-23,7575,68.0,7.0
2024-07-24,7530,68.0,7.2
2024-07-25,6413,78.0,6.6
2024-07-26,5748,73.0,5.6
2024-07-27,2663,47.0,7.8
2024-07-28,3998,73.0,6.4
2024-07-29,9994,71.0,7.0
2024-07-30,3495,82.0,7.5
2024-07-31,5304,70.0,5.1
2024-08-01,5763,95.0,5.3
2024-08-02,7232,86.0,6.9
2024-08-03,3853,72.0,7.7
2024-08-04,8585,84.0,7.9
2024-08-05,3291,79.0,5.6
2024-08-06,5581,77.0,7.8
2024-08-07,9554,81.0,7.0
2024-08-08,9280,75.0,6.3
2024-08-09,3636,77.0,6.6
2024-08-10,5696,82.0,8.0
2024-08-11,2698,91.0,7.5
2024-08-12,6737,77.0,7.3
2024-08-13,2854,71.0,7.4
2024-08-14,10164,59.0,8.1
2024-08-15,7855,91.0,7.1
2024-08-16,9392,73.0,7.3
2024-08-17,8528,79.0,8.3
2024-08-18,7249,90.0,6.9
2024-08-19,7172,77.0,7.8
2024-08-20,3707,73.0,6.7
2024-08-21,7791,86.0,6.8
2024-08-22,7535,79.0,7.1
2024-08-23,6931,80.0,7.7
2024-08-24,5510,63.0,8.4
2024-08-25,2202,85.0,7.3
2024-08-26,6218,78.0,5.7
2024-08-27,10958,64.0,7.8
2024-08-28,6389,79.0,9.7
2024-08-29,4327,58.0,7.3
2024-08-30,10004,94.0,5.5
2024-08-31,4931,66.0,7.4
2024-09-01,9777,88.0,7.2
2024-09-02,2197,68.0,7.1
2024-09-03,9125,79.0,8.1
2024-09-04,3930,68.0,8.6
2024-09-05,8287,83.0,7.9
2024-09-06,10800,73.0,7.1
2024-09-07,6282,79.0,8.3
2024-09-08,4511,75.0,5.7
2024-09-09,2659,64.0,6.5
2024-09-10,4811,79.0,6.6
2024-09-11,9098,71.0,7.2
2024-09-12,8546,83.0,7.7
2024-09-13,3986,73.0,7.0
2024-09-14,10338,74.0,6.3
2024-09-15,4911,88.0,8.2
2024-09-16,3734,94.0,7.0
2024-09-17,3843,81.0,7.3
2024-09-18,10680,73.0,7.8
2024-09-19,4976,72.0,7.2
2024-09-20,3959,68.0,7.2
2024-09-21,7759,70.0,8.2
2024-09-22,8694,73.0,7.4
2024-09-23,4385,91.0,8.1
2024-09-24,6736,73.0,7.7
2024-09-25,3802,65.0,9.2
2024-09-26,10155,75.0,7.6
2024-09-27,10120,76.0,7.8
2024-09-28,8616,75.0,8.3
2024-09-29,7534,81.0,7.3
2024-09-30,6061,76.0,6.6
2024-10-01,2262,81.0,6.7
2024-10-02,8287,69.0,6.7
2024-10-03,10815,89.0,6.2
2024-10-04,4049,77.0,7.5
2024-10-05,7423,78.0,6.6
2024-10-06,6548,69.0,7.4
2024-10-07,5108,79.0,7.0
2024-10-08,9158,80.0,7.2
2024-10-09,9400,66.0,7.8
2024-10-10,5170,62.0,6.7
2024-10-11,4255,77.0,7.8
2024-10-12,3154,71.0,8.8
2024-10-13,6499,77.0,7.5
2024-10-14,8295,65.0,6.4
2024-10-15,8197,63.0,6.6
2024-10-16,3648,77.0,7.0
2024-10-17,7539,72.0,6.6
2024-10-18,6199,58.0,6.2
2024-10-19,10445,86.0,7.4
2024-10-20,4557,65.0,7.0
2024-10-21,7592,96.0,7.4
2024-10-22,2098,70.0,8.4
2024-10-23,4200,78.0,7.0
2024-10-24,4961,88.0,6.0
2024-10-25,6973,87.0,6.8
2024-10-26,6433,91.0,8.0
2024-10-27,4869,63.0,7.9
2024-10-28,2956,66.0,7.7
2024-10-29,10352,77.0,6.6
2024-10-30,7699,82.0,8.0
2024-10-31,8944,75.0,8.2
2024-11-01,6493,62.0,6.5
2024-11-02,6911,79.0,7.2
2024-11-03,5987,73.0,9.2
2024-11-04,8015,73.0,6.5
2024-11-05,3218,57.0,5.5
2024-11-06,6496,81.0,8.6
2024-11-07,6735,76.0,8.3
2024-11-08,6555,89.0,6.7
2024-11-09,10050,74.0,7.1
2024-11-10,5446,80.0,6.0
2024-11-11,3045,82.0,7.3
2024-11-12,8893,61.0,8.4
2024-11-13,3693,96.0,6.7
2024-11-14,5436,72.0,8.1
2024-11-15,10754,79.0,7.7
2024-11-16,7895,80.0,7.8
2024-11-17,5354,68.0,6.7
2024-11-18,2225,90.0,6.8
2024-11-19,6893,77.0,5.4
2024-11-20,9022,73.0,6.6
2024-11-21,7600,76.0,8.4
2024-11-22,9996,81.0,6.3
2024-11-23,9683,75.0,6.4
2024-11-24,6642,82.0,7.8
2024-11-25,9679,62.0,7.6
2024-11-26,10208,69.0,7.9
2024-11-27,9339,58.0,6.0
2024-11-28,4205,91.0,9.8
2024-11-29,3069,91.0,6.0
2024-11-30,5444,80.0,7.4
2024-12-01,3060,67.0,7.0
2024-12-02,4327,94.0,6.0
2024-12-03,5420,70.0,6.8
2024-12-04,2301,73.0,7.2
2024-12-05,2606,76.0,6.6
2024-12-06,5170,79.0,8.1
2024-12-07,2699,80.0,7.0
2024-12-08,7088,80.0,5.9
2024-12-09,2190,74.0,5.8
2024-12-10,2980,80.0,7.8
2024-12-11,4975,73.0,5.7
2024-12-12,8102,80.0,7.5
2024-12-13,3184,79.0,7.6
2024-12-14,5327,81.0,6.2
2024-12-15,5394,80.0,8.1
2024-12-16,10319,71.0,5.5
2024-12-17,3816,79.0,7.5
2024-12-18,7854,80.0,7.2
2024-12-19,8709,65.0,7.1
2024-12-20,2569,73.0,6.0
2024-12-21,7442,80.0,6.3
2024-12-22,3895,89.0,8.8
2024-12-23,4733,82.0,8.4
2024-12-24,5863,89.0,7.9
2024-12-25,9455,72.0,8.1
2024-12-26,6014,77.0,8.0
2024-12-27,3686,81.0,6.9
2024-12-28,5009,56.0,7.2
2024-12-29,9806,87.0,5.7
2024-12-30,2154,60.0,7.1
2024-12-31,3409,83.0,8.4
2025-01-01,2784,80.0,6.5
2025-01-02,10096,56.0,8.2
2025-01-03,9560,57.0,7.3
2025-01-04,9343,86.0,5.8
2025-01-05,9206,85.0,6.1
2025-01-06,7596,68.0,8.1
2025-01-07,7801,68.0,7.8
2025-01-08,4806,79.0,7.3
2025-01-09,2537,75.0,6.9
2025-01-10,7986,83.0,7.4
2025-01-11,3841,79.0,8.1
2025-01-12,10716,88.0,8.7
2025-01-13,8971,83.0,8.7
2025-01-14,7625,81.0,7.6
2025-01-15,4950,72.0,7.0
2025-01-16,9992,72.0,7.3
2025-01-17,6780,75.0,7.7
2025-01-18,4368,90.0,7.7
2025-01-19,8655,72.0,8.5
2025-01-20,10173,77.0,9.3
2025-01-21,6495,57.0,7.0
2025-01-22,8002,80.0,9.4
2025-01-23,8614,93.0,8.4
2025-01-24,7919,68.0,7.1
2025-01-25,2853,100.0,8.7
2025-01-26,6146,76.0,8.9
2025-01-27,5769,54.0,6.7
2025-01-28,2574,72.0,8.9
2025-01-29,3148,86.0,8.3
2025-01-30,8293,91.0,9.6
2025-01-31,8457,81.0,6.8
2025-02-01,9509,88.0,6.8
2025-02-02,6777,66.0,5.2
2025-02-03,5854,70.0,7.8
2025-02-04,4491,62.0,7.6
2025-02-05,5124,70.0,6.6
2025-02-06,7691,81.0,7.1
2025-02-07,5051,77.0,5.9
2025-02-08,2004,82.0,8.4
2025-02-09,7222,68.0,6.7
2025-02-10,7315,68.0,10.3
2025-02-11,6869,77.0,7.0
2025-02-12,2876,70.0,6.4
2025-02-13,9027,85.0,6.8
2025-02-14,6142,70.0,5.8
2025-02-15,8966,71.0,7.7
2025-02-16,9079,78.0,6.8
2025-02-17,9987,72.0,8.3
2025-02-18,8799,65.0,6.9
2025-02-19,6465,66.0,8.6
2025-02-20,2635,79.0,8.0
2025-02-21,3693,64.0,7.2
2025-02-22,6752,86.0,8.8
2025-02-23,10311,69.0,8.2
2025-02-24,2830,80.0,10.1
2025-02-25,7177,70.0,6.8
2025-02-26,10932,68.0,7.3
2025-02-27,10308,77.0,8.8
2025-02-28,7949,83.0,5.7
2025-03-01,4838,73.0,8.5
2025-03-02,3150,74.0,7.6
2025-03-03,9560,81.0,6.3
2025-03-04,3931,82.0,5.8
2025-03-05,3664,75.0,6.5
2025-03-06,3081,71.0,4.9
2025-03-07,2512,76.0,6.7
2025-03-08,9805,73.0,7.8
2025-03-09,7237,78.0,6.7
2025-03-10,2559,65.0,8.6
2025-03-11,5672,77.0,8.9
2025-03-12,9404,69.0,8.5
2025-03-13,5343,82.0,7.4
2025-03-14,6070,70.0,4.9
2025-03-15,2580,70.0,6.5
2025-03-16,9004,79.0,7.1
2025-03-17,10130,75.0,6.3
2025-03-18,5147,93.0,7.1
2025-03-19,6249,62.0,8.8
2025-03-20,3679,76.0,5.6
2025-03-21,5506,84.0,9.0
2025-03-22,9253,70.0,8.1
2025-03-23,4744,68.0,7.5
2025-03-24,7188,68.0,6.5
2025-03-25,4141,62.0,6.3
2025-03-26,8617,86.0,5.6
2025-03-27,4479,72.0,8.9
2025-03-28,8484,71.0,8.7
2025-03-29,9421,58.0,5.8
2025-03-30,6452,64.0,6.6
2025-03-31,7881,87.0,7.6
2025-04-01,255,77.0,6.9
2025-04-02,1490,84.0,5.3
2025-04-03,719,83.0,6.5
2025-04-04,1374,67.0,9.2
2025-04-05,1056,94.0,6.6
2025-04-06,433,91.0,7.0
2025-04-07,1068,70.0,6.1
2025-04-08,610,46.0,7.8
2025-04-09,1416,72.0,7.3
2025-04-10,1143,77.0,6.5
2025-04-11,381,70.0,5.9
2025-04-12,896,73.0,8.6
2025-04-13,1124,68.0,5.6
2025-04-14,218,82.0,7.7
2025-04-15,1158,76.0,5.0
2025-04-16,297,83.0,7.9
2025-04-17,584,85.0,8.2
